,Image,Label,Type
0,dd1f581a-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
1,9460b538-48a1-11f0-93ad-83dd4b7f9dbc.png,1,hand_labelled
2,52cc2486-48a1-11f0-93ad-83dd4b7f9dbc.png,4,hand_labelled
3,a8916d40-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
4,c8d6fd86-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
5,d118d6d6-48a1-11f0-93ad-83dd4b7f9dbc.png,1,hand_labelled
6,ba72877e-48a1-11f0-93ad-83dd4b7f9dbc.png,1,hand_labelled
7,a18a85d6-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
8,980be270-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
9,d5ec361c-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
10,e42b9448-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
11,fe70e90c-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
12,438fad76-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
13,21097498-48a2-11f0-93ad-83dd4b7f9dbc.png,3,hand_labelled
14,9f071f40-48a1-11f0-93ad-83dd4b7f9dbc.png,1,hand_labelled
15,8f88edb4-48a1-11f0-93ad-83dd4b7f9dbc.png,2,hand_labelled
16,cd939dd4-48a1-11f0-93ad-83dd4b7f9dbc.png,3,hand_labelled
17,13daaee0-48a2-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
18,1780f900-48a2-11f0-93ad-83dd4b7f9dbc.png,2,hand_labelled
19,b234a10a-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
20,be16efdc-48a1-11f0-93ad-83dd4b7f9dbc.png,5,hand_labelled
21,d12ce4e6-48a1-11f0-93ad-83dd4b7f9dbc.png,2,hand_labelled
22,697c656a-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
23,9ca72ace-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
24,90b8f8b4-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
25,4f3c7762-48a1-11f0-93ad-83dd4b7f9dbc.png,5,hand_labelled
26,cc5393f2-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
27,e7bf25fc-48a1-11f0-93ad-83dd4b7f9dbc.png,3,hand_labelled
28,bf467800-48a1-11f0-93ad-83dd4b7f9dbc.png,3,hand_labelled
29,b21a3018-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
30,61094a60-48a1-11f0-93ad-83dd4b7f9dbc.png,4,hand_labelled
31,046bd254-48a2-11f0-93ad-83dd4b7f9dbc.png,2,hand_labelled
32,105b3758-48a2-11f0-93ad-83dd4b7f9dbc.png,4,hand_labelled
33,c5394594-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
34,a169489e-48a1-11f0-93ad-83dd4b7f9dbc.png,2,hand_labelled
35,09221c4a-48a2-11f0-93ad-83dd4b7f9dbc.png,1,hand_labelled
36,8bf48546-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
37,117894b4-48a2-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
38,552b353c-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
39,e0a7bed2-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
40,f4dc72bc-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
41,c0908e94-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
42,c8c08768-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
43,45f37368-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
44,ec9cb756-48a1-11f0-93ad-83dd4b7f9dbc.png,5,hand_labelled
45,1e96c224-48a2-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
46,06becf98-48a2-11f0-93ad-83dd4b7f9dbc.png,3,hand_labelled
47,06ce657a-48a2-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
48,fe655b1e-48a1-11f0-93ad-83dd4b7f9dbc.png,1,hand_labelled
49,b47bf490-48a1-11f0-93ad-83dd4b7f9dbc.png,2,hand_labelled
50,296cee80-48a2-11f0-93ad-83dd4b7f9dbc.png,1,hand_labelled
51,9f15770c-48a1-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
52,25bcaaf0-48a2-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
53,2a817584-48a2-11f0-93ad-83dd4b7f9dbc.png,0,hand_labelled
